variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
about you confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""About You""",integer,,,,false,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"consent,participant,day,survey form",group0
pcr test date_deid,Number of days from day of Consent when PCR Test Occurred,integer,,,,false,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"consent,day,pcr test,number",group0
consentdt_mdy,Note: Maximum expected day = Current day.,date_mdy,,,Date of Consent,,,,,,,,,consent,Consent,text,MM/DD/YYYY,01/01/1900,,[consent_given] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"consent,date,current day,note,maximum",group0
consent_given,,,,,Is consent required for this study?,,"1,Yes, consent is required for this study| 0, No, Consent is not required/is waived for this study",,,,,,,consent,Consent,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"consent,study",group1
consent,Consent to participate in the study. ,categorical,,,,,Agree; Disagree,,,,,,,,,,,,,,,,,,,NIH_CD_DD_origcopy.csv,RADx-DHT,"consent,study",group1
covid_test_result_raw,,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,Covid Testing,text,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"report,negative,positive,raw test result",group2
covid_test_result_raw,From RADx-UP Testing Core,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,Accessibility to testing,text,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"negative,raw test result,test core,report,radx,positive",group2
do_you_currently_smoke_cigarettes_or_vape,Do you currently smoke cigarettes or vape?,text,,,,,"[""yes"",""no_i_used_to_smoke_and_or_vape_but_i_stopped"",""no_i_have_never_smoked_or_vaped""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"vape,cigarette",group3
ecig_30days,,select one,Your Smoking History,3,Have you used an electronic nicotine product in the past 30 days?,true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,electronic nicotine product",group3
received_covid_test_result,,string,,,Have you received the result of a coronavirus (COVID-19) diagnostic test in the past 24 hours?,,"['No I have not taken a COVID 19 test I am not waiting on test results', 'No I have not received the result of a COVID 19 test in the past 24 hours but I am waiting on test results', 'Yes and I tested negative I was not diagnosed with COVID 19', 'I dont know I cant remember', 'Yes and I tested positive I was diagnosed with COVID 19', nan]",,,0.0,,,,,,,,,,,,,,,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,"coronavirus,result,diagnostic test,hour",group3
