Digest (variable_name|source_file|source_directory),variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
1d5f76d606ccbbb8d4908dbc44b356bb34bb78b630162c6784966b9693cbc6d6f6aa3d7e12404fdcc2aacb90aa54437897f527f9436e59154508534c827a5992,pcr test date_deid,Number of days from day of Consent when PCR Test Occurred,integer,,,,FALSE,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"number,consent,pcr test,day",group0
c86abcc57dc1ed76fa400673415f1453e65038a42e6552ee76a0c36acd592cb38b13fb76c80fc5435a459b75354e5b7dad21752059f97186d6fa8778936f3d7d,about you confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""About You""",integer,,,,FALSE,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"consent,survey form,participant,day",group0
b01395f49434a33e9fc1439869fa58af193d070398cb70ba4d3dde4fbb2160abbde90388ab0990f54f0c75c2ecbc071ecb6f0c3329e396a9196ad8de21a0964e,consentdt_mdy,Note: Maximum expected day = Current day.,,,,Date of Consent,,,,,,,,,consent,Consent,text,MM/DD/YYYY,date_mdy,01/01/1900,,[consent_given] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"note,current day,date,maximum,consent",group0
2f00c5c0fab8ca856c3cb9c48282c11e2d818b501360bd765768f603183dd4683ec5f2a5cb170bedf1333056298c3fb1dac56a5cda53d6c3dfb75239b04554c9,tobacco_pastmonth,,select one,Your Smoking History,3,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,cigarette,tobacco product,day",group1
cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a,29792-consent_covid+,COVID related testing eligibility,categorical,,,Have you tested Positive for COVID-19 in the last 30 days?,TRUE,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,testing eligibility,day,positive",group1
781adc5910d38ba1bba85736542767b08280b8f28807d39997b639c74748b7f8c84f1eb9504e9d06ec5f79ed21cd8a7971b7b96ede3e75902565605e50817feb,30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",TRUE,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day,result,covid,research study,coronavirus,status,recent test",group1
73dd5d785a359c0c2508a3e27040d7dd96e32413f36284e6a2d88c3e51e7a324d8f1f9298af77f86a20e15a4bc55e91a116da4d6458eb4cf710ffb94722e6537,n_cig,Smoking per day,text,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"cigarette,day",group1
438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,cig_day,,float,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",FALSE,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1
9586f964d63d247e8143333da43ca86fc1993110b74032587c9ec206f7405d376a7a0607906ceffd89cf8741903179e419ba0baf2304bf6b9ef51d9b8bedeeed,on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"cigarette,day",group1
fd0dc8c08b45c7ccf66bc47a58b03d3aae0f2731fe6303a59af3e7c39388c6ac3f5013dc216087feaadd4ec73344faa2fc3148935b0ef790528d5245e95ca72b,ecig_30days,,select one,Your Smoking History,3,Have you used an electronic nicotine product in the past 30 days?,TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"electronic nicotine product,day",group1
42ff2b1289e3981201ddbdd1da5a8d061894f9f328fe88c988d3957837246a93375259387bf0d1aa19da06f9280d42dac4064d1206e237cd19f2c5179b69511c,income_change,,select one,Monthly COVID-19 Citizen Science Survey,4,Has your income changed in the past 30 days?,TRUE,"Yes, it has increased;Yes it has declined;No, it is about the same;Prefer not to state",,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,"income,day",group1
2db9b190990da4bea303b0d8da6e702a69c86b7eda87fe1bea26febc0c65e4ffa463408dec6a54b69c8c6531462b0eb7b9c6f205a67019ae7817145bdaafcb7f,unemployed,,select one,Monthly COVID-19 Citizen Science Survey,4,"In the past 30 days, have you been unemployed?",TRUE,Yes;No;Prefer not to state,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,day,group1
9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556,covid_tested_30,,,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,Tier 2 Covid,radio,,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group1
705f130956aa31f55dd945f89cccd5cfe14dc8ab423010087ad50641512fd41dd45298155439b0a2a48b1cd957287e634c42ca96726f2d085e9c5cbd089361f7,tobacco_ever,,select one,Your Smoking History,3,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigar,cigarette,tobacco product",group1
743bdfbdc1ce5b3b686ef10284d3a1f7ad2df7657507040ef8ac7d44b91f16a9d3b42f05f3f0b8ebc8e60bbb970c86f506c169a6d1f3ea4decc0777f3fc47427,sx_3days,,select any,Baseline Survey,7,"Have you had any of the following symptoms since February 1, 2020 for more than 3 days in a row? CHECK ALL THAT APPLY",TRUE,"A scratchy throat;A painful sore throat;A cough (worse than usual if you have a baseline cough);A runny nose;Symptoms of fever  or chills;A temperature greater than 100.4 °F or 38.0 °C;Muscle aches (worse than usual if you have baseline muscle aches);None of the above;Nausea, vomiting or diarrhea;Shortness of breath;Unable to taste or smell;Red or painful eyes",,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,"row,february,symptom,day",group1
