variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
covid_test_result_raw,,,aa9f297d898b3c2229bb47e23513508c90f8fb8f35d298d023cb7e75644e7868ea4f723cf63ef4d0b4ecd171f400b08c9c345f7cf1e64f3f0b78b78bf0fe569f,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,,,Covid Testing,text,,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"negative,raw test result,positive,report",group0,"cdab97,0.85"
covid_test_result_raw,From RADx-UP Testing Core,,99507d8a506d7edbd6dd5f227c5c132f931b6aaada4634bfee1c9abac3a160603912dcc2408dcdf6da21ace814f5ea5bf4f47f892ef1151bc099cf2a0dcdab97,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,,,Accessibility to testing,text,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"radx,test core,negative,raw test result,report,positive",group0,"fe569f,0.85"
cov_tst_mthd_2,,,d0d7e4d05596c062af08717e6e90e7a7eef1eff8551badb79b9db910660e196bcd5cd6c2152a5c8b7006c98136c0ed4ddf9573368ca8e77da669f182bdb90850,,,How were you tested for your most recent test? ,,"1,Nasal Swab|2,Throat Swab|3, Blood Sample|4, Saliva|99, Prefer not to answer",,,,,,,testing,,,Tested positive for COVID-19,radio,,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,recent test,group1,"108239,0.59;817feb,0.63"
unemployed,,select one,2db9b190990da4bea303b0d8da6e702a69c86b7eda87fe1bea26febc0c65e4ffa463408dec6a54b69c8c6531462b0eb7b9c6f205a67019ae7817145bdaafcb7f,Monthly COVID-19 Citizen Science Survey,4,"In the past 30 days, have you been unemployed?",true,Yes;No;Prefer not to state,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,day,group1,"344556,0.63"
smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4' ,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,cigarette,day",group1,"bd2d9c,0.56;f66806,0.7;1fc0d7,0.65;ae86ea,0.79;599470,0.82;4554c9,0.53;edeeed,0.93;2e6537,0.96;7ab81c,0.66;0715a8,0.75;13e219,0.66;4c8408,0.65;9361f7,0.56;58d3cf,0.64;16bc6c,0.61;a94673,0.57;8b1cbc,0.64;640501,0.58"
covid_tested_30,,,9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,,,Tier 2 Covid,radio,,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group1,"afcb7f,0.63;108239,0.71;ce2f26,0.65;69511c,0.62;a7bdb5,0.65;13e219,0.56;c47427,0.5;a0ed7a,0.71;817feb,0.72;4e028c,0.51"
recentresult_covidtest,PX570201,,48f4a83d6b962388a8f383ffe430c9bfedaa877b3a32c5ef1846ceba106b605cfa97e54cfaffba00cf094747727d7826f60cfd83b24302f8bef374fcac5b3a77,,,What was the result of your most recent COVID-19 test?,,"1, Negative | 2, Positive | 3, Never obtained results | 4, Indeterminate | 98, Don't know | 99, Prefer not to answer",,,,,,,testing,,,Tested positive for COVID-19,radio,,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"result,px570201",group1,"a1bcb5,0.57;108239,0.52;ce2f26,0.67;817feb,0.56;2a7329,0.51"
smoking,,,dd2c35bc7453dfa163e83d569c8a32b0445cac4e0987bb6e8f3405939c1fefc71f7959fa0ac3264c502abdf3eb50b00b31996da4b00b153f4afee2006bbd2d9c,,,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-TECH-global-code-book.csv,RADx-TECH,"nicotine product,cigarette,cigar,tobacco",group1,"6a9b85,0.56;1fc0d7,0.7;ae86ea,0.56;4f2f02,0.63;599470,0.52;80761e,0.64;4554c9,0.77;0544c1,0.52;edeeed,0.58;2e6537,0.53;ad7689,0.6;7ab81c,0.64;0715a8,0.72;13e219,0.6;9361f7,0.78;58d3cf,0.6;a94673,0.63;8b1cbc,0.61"
received_covid_test_result,,string,78e32b7f0704c585282690a4b5992eb9832c6fad2869f2413cc47744f053dc75d4c6a3b5345721cb96ed628a6cc6913c2baf82af52ba0b96a3c19d4d00a1bcb5,,,Have you received the result of a coronavirus (COVID-19) diagnostic test in the past 24 hours?,,"['No I have not taken a COVID 19 test I am not waiting on test results', 'No I have not received the result of a COVID 19 test in the past 24 hours but I am waiting on test results', 'Yes and I tested negative I was not diagnosed with COVID 19', 'I dont know I cant remember', 'Yes and I tested positive I was diagnosed with COVID 19', nan]",,,0.0,,,,,,,,,,,,,,,,,,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,"result,hour,coronavirus,diagnostic test",group1,"5b3a77,0.57"
smoke_howmanydays,,integer,30e949b7f1b7f967af5ca8a4cbac35b261344b32def748eae7447d650113e434912b20a86105da3eaed1060ef23301520708189baa98c8a6bb06cf1730f66806,Your Smoking History,3,About how many days have you smoked a cigarette in the past 30 days?,true,Integer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1,"6a9b85,0.7;4f2f02,0.52;ac1866,0.5;80761e,0.52"
