variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
covid_tested_30,,,9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,,,Tier 2 Covid,radio,,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group0,"817feb,0.72;108239,0.71;a0ed7a,0.71"
30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,781adc5910d38ba1bba85736542767b08280b8f28807d39997b639c74748b7f8c84f1eb9504e9d06ec5f79ed21cd8a7971b7b96ede3e75902565605e50817feb,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,research study,coronavirus,day,covid_tested30,recent test,result,status",group0,"344556,0.72"
30144-flu_result,Last 30 Days FLU Tested Results,categorical,0833cea70599452dd07979b2e8fff8e4251ab2c7879df5befc3f3bd5e9e65893fc64a462584a3cd30f37710718d01ab5fc18182e042362b818c4d7d22c108239,,,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"flu_result,day,recent test,result,day flu,flu",group0,"344556,0.71"
29792-consent_covid+,COVID related testing eligibility,categorical,cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a,,,Have you tested Positive for COVID-19 in the last 30 days?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"testing eligibility,day,positive",group0,"344556,0.71"
cig_day,,float,438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",false,,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette,cig_day",group1,"6a9b85,0.82"
how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,a92653b9a7fd7d099dbbba675ee1ba07f3fbbb125d65c761298bb411c10daef205db0b7ac29f5cbbbaff8906e80258f81524f3396f00fe5b23b6b6e72eae86ea,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"how_often_do_you_smoke_cigarette,cigarette",group1,"6a9b85,0.79;80761e,0.73"
smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4' ,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,day,cigarette",group1,"599470,0.82;ae86ea,0.79;edeeed,0.93;0715a8,0.75;2e6537,0.96"
tobacco_pastmonth,,select one,2f00c5c0fab8ca856c3cb9c48282c11e2d818b501360bd765768f603183dd4683ec5f2a5cb170bedf1333056298c3fb1dac56a5cda53d6c3dfb75239b04554c9,Your Smoking History,3,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,day,cigarette,tobacco product",group1,"bd2d9c,0.77"
cigarette_ever,,select one,d658b733546d46027b76d1711742a0b5a4276a28691d3384dcd874f1be0bd20cd7b5cef33cba67c361c8b728c54c3c9ff112d8a228763c98a9d92fd7c558d3cf,Your Smoking History,3,"Have you ever smoked a cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigarette",group1,"80761e,0.72"
on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,9586f964d63d247e8143333da43ca86fc1993110b74032587c9ec206f7405d376a7a0607906ceffd89cf8741903179e419ba0baf2304bf6b9ef51d9b8bedeeed,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"day,cigarette",group1,"6a9b85,0.93"
