variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
pcr test date_deid,Number of days from day of Consent when PCR Test Occurred,integer,1d5f76d606ccbbb8d4908dbc44b356bb34bb78b630162c6784966b9693cbc6d6f6aa3d7e12404fdcc2aacb90aa54437897f527f9436e59154508534c827a5992,,,,false,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day,consent,number,pcr test",group0,"a0964e,0.51"
consentdt_mdy,Note: Maximum expected day = Current day.,,b01395f49434a33e9fc1439869fa58af193d070398cb70ba4d3dde4fbb2160abbde90388ab0990f54f0c75c2ecbc071ecb6f0c3329e396a9196ad8de21a0964e,,,Date of Consent,,,,,,,,,consent,,,Consent,text,MM/DD/YYYY,date_mdy,01/01/1900,,[consent_given] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"date,consent,note,maximum,current day",group0,"7a5992,0.51;6f3d7d,0.51"
about you confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""About You""",integer,c86abcc57dc1ed76fa400673415f1453e65038a42e6552ee76a0c36acd592cb38b13fb76c80fc5435a459b75354e5b7dad21752059f97186d6fa8778936f3d7d,,,,false,De-identified Value in Days,,,,days,,,,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day,participant,confirmation submission,consent,survey form",group0,"a0964e,0.51"
vaper_cur_stat,,,04be5d476503b0516cdc740820faf1578dceebd9913d390eeffb76a4687f446f8295d80bbaec78bea2204014b32faa388453893963d77929d06693db21ac1866,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,"day,electronic cigarette",group1,"599470,0.57;5ca72b,0.59;f66806,0.5;1813a7,0.74;16bc6c,0.53;edeeed,0.61;640501,0.87;13e219,0.56;2e6537,0.58;0715a8,0.53;4c8408,0.94"
cig_day,,float,438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",false,,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette,cig_day",group1,"ac1866,0.57;6a9b85,0.82;0544c1,0.56;80761e,0.52;bd2d9c,0.52"
ecig_30days,,select one,fd0dc8c08b45c7ccf66bc47a58b03d3aae0f2731fe6303a59af3e7c39388c6ac3f5013dc216087feaadd4ec73344faa2fc3148935b0ef790528d5245e95ca72b,Your Smoking History,3,Have you used an electronic nicotine product in the past 30 days?,true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"electronic nicotine product,ecig_30day,day",group1,"ac1866,0.59;0544c1,0.58"
smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4' ,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,day,cigarette",group1,"599470,0.82;f66806,0.7;ae86ea,0.79;1fc0d7,0.65;9361f7,0.56;16bc6c,0.61;edeeed,0.93;640501,0.58;4554c9,0.53;13e219,0.66;a94673,0.57;2e6537,0.96;bd2d9c,0.56;7ab81c,0.66;0715a8,0.75;58d3cf,0.64;4c8408,0.65;8b1cbc,0.64"
smoke_howmanydays,,integer,30e949b7f1b7f967af5ca8a4cbac35b261344b32def748eae7447d650113e434912b20a86105da3eaed1060ef23301520708189baa98c8a6bb06cf1730f66806,Your Smoking History,3,About how many days have you smoked a cigarette in the past 30 days?,true,Integer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,smoke_howmanyday,cigarette",group1,"ac1866,0.5;6a9b85,0.7;4f2f02,0.52;80761e,0.52"
how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,a92653b9a7fd7d099dbbba675ee1ba07f3fbbb125d65c761298bb411c10daef205db0b7ac29f5cbbbaff8906e80258f81524f3396f00fe5b23b6b6e72eae86ea,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"how_often_do_you_smoke_cigarette,cigarette",group1,"6a9b85,0.79;4f2f02,0.67;80761e,0.73;bd2d9c,0.56"
vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,fb55f66243d58ed2345d996da71be84a741cfe7e429ea2f1c189d9b28cfc63c5c9a07a0e52dfa1802b1ff8a2569d8717ea947239fdc2d7f01510a0d3e70544c1,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"data_statistic,electronic cigarette,day,tobacco,sgr",group1,"599470,0.56;5ca72b,0.58;1813a7,0.73;16bc6c,0.52;edeeed,0.59;640501,0.86;13e219,0.54;2e6537,0.57;bd2d9c,0.52;0715a8,0.53;4c8408,0.94"
smoker_cur_stat,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,c54f01a12a4ae1d83027a1836185fc949b84acc2eb55b0998a8e12650dce90464f2c787a28eafa2e9012ca9a5e7edd8871b4347d0773804b074a11af604f2f02,,,Do you now smoke cigarettes?,,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,cigarette",group1,"f66806,0.52;ae86ea,0.67;9361f7,0.59;edeeed,0.61;4554c9,0.58;13e219,0.66;a94673,0.71;2e6537,0.56;bd2d9c,0.63;7ab81c,0.88;58d3cf,0.69;8b1cbc,0.75"
tobacco_howmanydays,,integer,8e3f9ca75160ce2666a2067792bf58c76175ba2651da5ff358a91688bed81611efc934c0a95b8f605db2f2d566d528479aafd3e7124f749b1ba86dd5061fc0d7,Your Smoking History,3,"About how many days have you smoked a cigar, cigarillo, or tobacco product other than cigarette in the past 30 days?",true,|days,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,day,cigarette,tobacco product",group1,"6a9b85,0.65;80761e,0.52;ad7689,0.64;bd2d9c,0.7"
tobacco_ever,,select one,705f130956aa31f55dd945f89cccd5cfe14dc8ab423010087ad50641512fd41dd45298155439b0a2a48b1cd957287e634c42ca96726f2d085e9c5cbd089361f7,Your Smoking History,3,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,puff,cigarette,tobacco product",group1,"6a9b85,0.56;4f2f02,0.59;80761e,0.62;ad7689,0.68;bd2d9c,0.78"
recentresult_covidtest,PX570201,,48f4a83d6b962388a8f383ffe430c9bfedaa877b3a32c5ef1846ceba106b605cfa97e54cfaffba00cf094747727d7826f60cfd83b24302f8bef374fcac5b3a77,,,What was the result of your most recent COVID-19 test?,,"1, Negative | 2, Positive | 3, Never obtained results | 4, Indeterminate | 98, Don't know | 99, Prefer not to answer",,,,,,,testing,,,Tested positive for COVID-19,radio,,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"result,px570201",group1,"108239,0.52;a1bcb5,0.57;817feb,0.56;2a7329,0.51;ce2f26,0.67"
how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,284bc775224a2ad101e15244580da8eef3910806e1523c180998dec4c5be708bbb2bf77a55be4d63740dcc73bc07b0379419b3eb7b1f858e584888e1a31813a7,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"vape,how_often_do_you_use_electronic_cigarettes_or_vape,electronic cigarette",group1,"ac1866,0.74;0544c1,0.73"
